Dataset	Genome_ID	n_16S	n_tRNA	total_genes	n_MCP	n_transporter	n_transfact	n_osmostress	n_SMBC	accessions
RefSoil	RefSoil_538	3	58	3783	7	62	168	2	5	NC_016629.1
RefSoil	RefSoil_441	3	76	6229	0	102	426	0	18	NC_014815.1
RefSoil	RefSoil_213	3	65	5070	0	83	309	0	27	NC_009953.1
RefSoil	RefSoil_440	3	53	3058	0	50	111	0	3	NC_014734.1
RefSoil	RefSoil_564	1	51	5029	0	82	263	1	20	NC_016946.1
RefSoil	RefSoil_415	9	80	4368	10	71	264	0	17	NC_014393.1
RefSoil	RefSoil_473	3	48	2959	1	48	205	0	1	NC_015520.1
RefSoil	RefSoil_527	6	81	9946	0	161	947	2	50	NC_016582.1
RefSoil	RefSoil_601	5	68	3089	7	50	150	0	2	NC_017310.1
RefSoil	RefSoil_131	3	39	3772	0	61	114	0	6	NC_008255.1
RefSoil	RefSoil_715	3	43	3480	0	56	119	2	8	NC_019776.1
RefSoil	RefSoil_241	2	59	4351	3	70	266	3	2	NC_010524.1
RefSoil	RefSoil_83	4	59	3122	0	50	189	1	6	NC_007333.1
RefSoil	RefSoil_747	5	66	4515	4	72	253	5	5	NC_020516.1
RefSoil	RefSoil_861	4	53	2822	1	45	197	0	2	NZ_CP007033.1
RefSoil	RefSoil_625	3	57	3205	3	51	205	2	4	NC_017574.1
RefSoil	RefSoil_13	5	68	3148	7	50	151	0	2	NC_002937.3
RefSoil	RefSoil_758	3	48	2584	3	41	157	0	2	NC_020887.2
RefSoil	RefSoil_699	4	81	8406	0	133	687	1	31	NC_019673.1
RefSoil	RefSoil_412	1	34	2281	0	36	63	1	3	NC_014330.1
RefSoil	RefSoil_315	1	50	3998	0	63	181	1	4	NC_012489.1
RefSoil	RefSoil_163	1	51	3846	2	60	225	2	4	NC_008825.1
RefSoil	RefSoil_74	2	56	4821	2	75	265	4	2	NC_006834.1
RefSoil	RefSoil_563	3	57	4630	1	72	241	2	6	NC_016943.1
RefSoil	RefSoil_44	5	70	4896	0	76	252	0	0	NC_004663.1
RefSoil	RefSoil_906	2	47	2839	7	44	137	4	3	NZ_CP007793.1
RefSoil	RefSoil_330	5	48	1939	1	30	105	2	2	NC_012778.1
RefSoil	RefSoil_452	1	47	4267	0	66	241	2	9	NC_014963.1
RefSoil	RefSoil_148	1	58	5175	0	80	290	1	16	NC_008595.1
RefSoil	RefSoil_288	4	65	3245	8	50	176	1	2	NC_011769.1
RefSoil	RefSoil_836	1	60	6837	0	105	411	7	7	NZ_CM002796.1
RefSoil	RefSoil_453	2	50	3327	3	51	153	0	3	NC_014972.1
RefSoil	RefSoil_373	2	52	3069	4	47	160	4	3	NC_013854.1
RefSoil	RefSoil_855	3	58	7578	0	116	560	4	28	NZ_CP006850.1
RefSoil	RefSoil_565	1	53	5050	0	77	254	1	20	NC_016947.1
RefSoil	RefSoil_744	6	90	8483	0	129	706	6	32	NC_020504.1
RefSoil	RefSoil_450	4	59	3293	0	50	147	0	4	NC_014958.1
RefSoil	RefSoil_867	3	57	8828	0	134	826	5	45	NZ_CP007155.1
RefSoil	RefSoil_161	3	51	4889	0	74	289	10	3	NC_008786.1
RefSoil	RefSoil_507	2	47	3243	0	49	138	6	4	NC_015942.1
RefSoil	RefSoil_407	3	56	3179	3	48	206	2	4	NC_014311.1
RefSoil	RefSoil_774	4	78	8015	3	121	618	0	24	NC_021191.1
RefSoil	RefSoil_94	2	49	2193	0	33	74	0	2	NC_007512.1
RefSoil	RefSoil_4	3	50	3060	0	46	107	0	4	NC_001263.1, NC_001264.1
RefSoil	RefSoil_566	1	49	5152	0	77	258	1	19	NC_016948.1
RefSoil	RefSoil_296	2	48	5028	0	75	188	0	13	NC_011884.1
RefSoil	RefSoil_360	3	44	2282	8	34	95	0	1	NC_013512.1
RefSoil	RefSoil_490	1	47	3911	0	58	219	4	6	NC_015677.1
RefSoil	RefSoil_575	6	76	8064	3	119	635	1	12	NC_017093.1
RefSoil	RefSoil_636	5	49	2984	0	44	118	0	3	NC_017790.1
RefSoil	RefSoil_299	7	79	7532	1	111	429	9	11	NC_011894.1
RefSoil	RefSoil_332	3	53	4480	8	66	194	1	8	NC_012796.1
RefSoil	RefSoil_416	3	51	2919	2	43	127	1	3	NC_014394.1
RefSoil	RefSoil_753	3	52	3396	2	50	215	2	5	NC_020799.1
RefSoil	RefSoil_478	2	47	3402	4	50	148	2	1	NC_015577.1
RefSoil	RefSoil_348	3	82	9000	0	132	777	1	26	NC_013131.1
RefSoil	RefSoil_175	1	43	3210	0	47	173	2	5	NC_009428.1
RefSoil	RefSoil_229	10	110	2734	6	40	131	1	2	NC_010337.2
RefSoil	RefSoil_406	3	59	3149	2	46	201	2	4	NC_014307.1
RefSoil	RefSoil_924	4	56	2747	0	40	152	1	1	NZ_HF545616.1, NZ_HF545617.1
RefSoil	RefSoil_273	2	67	4465	2	65	223	1	7	NC_011145.1
RefSoil	RefSoil_624	3	63	3298	4	48	196	2	6	NC_017559.1
RefSoil	RefSoil_878	7	64	2132	2	31	116	0	2	NZ_CP007452.1
RefSoil	RefSoil_510	6	84	8877	0	129	858	3	43	NC_015957.1
RefSoil	RefSoil_535	2	50	2762	6	40	148	5	2	NC_016622.1
RefSoil	RefSoil_119	1	51	4223	0	61	156	2	3	NC_007964.1
RefSoil	RefSoil_533	0	50	2908	6	42	126	3	4	NC_016617.1
RefSoil	RefSoil_274	4	60	4019	5	58	187	0	5	NC_011146.1
RefSoil	RefSoil_151	2	55	4783	0	69	289	1	0	NC_008699.1
RefSoil	RefSoil_477	3	49	3544	5	51	194	1	1	NC_015573.1
RefSoil	RefSoil_69	4	62	4031	0	58	195	7	7	NC_006513.1
RefSoil	RefSoil_246	1	73	4669	0	67	212	1	4	NC_010571.1
RefSoil	RefSoil_300	8	64	3489	4	50	211	0	9	NC_011898.1
RefSoil	RefSoil_250	2	35	3630	3	52	125	0	3	NC_010602.1, NC_010843.1
RefSoil	RefSoil_264	2	35	3636	3	52	125	0	3	NC_010842.1, NC_010845.1
RefSoil	RefSoil_807	3	84	8674	1	124	770	0	11	NC_022657.1
RefSoil	RefSoil_834	1	56	3361	3	48	211	2	5	NZ_CM002755.1
RefSoil	RefSoil_350	3	52	3926	0	56	259	3	10	NC_013159.1
RefSoil	RefSoil_702	1	41	3669	0	52	131	0	3	NC_019680.1
RefSoil	RefSoil_660	4	71	9490	0	134	879	5	29	NC_018266.1
RefSoil	RefSoil_662	1	48	3619	0	51	139	3	13	NC_018485.1
RefSoil	RefSoil_850	4	45	4128	0	58	147	0	3	NZ_CP006587.1
RefSoil	RefSoil_24	3	58	3421	2	48	225	2	5	NC_003295.1
RefSoil	RefSoil_100	1	43	2923	0	41	112	2	6	NC_007614.1
RefSoil	RefSoil_773	8	63	4588	6	64	271	3	5	NC_021184.1
RefSoil	RefSoil_460	3	48	2010	0	28	72	0	2	NC_015161.1
RefSoil	RefSoil_144	2	59	8193	0	113	353	0	6	NC_008536.1
RefSoil	RefSoil_359	4	78	4955	0	68	340	1	12	NC_013510.1
RefSoil	RefSoil_105	2	71	4446	2	61	207	0	7	NC_007760.1
RefSoil	RefSoil_479	2	52	3499	7	48	145	3	1	NC_015578.1
RefSoil	RefSoil_530	3	59	7294	0	100	450	0	6	NC_016609.1
RefSoil	RefSoil_692	3	52	2918	1	40	201	0	2	NC_018866.1
RefSoil	RefSoil_704	3	42	4598	0	63	170	0	11	NC_019689.1
RefSoil	RefSoil_835	1	58	3366	4	46	208	2	5	NZ_CM002757.1
RefSoil	RefSoil_693	3	52	2927	1	40	200	0	2	NC_018867.1
RefSoil	RefSoil_708	2	42	3586	0	49	142	0	6	NC_019702.1
RefSoil	RefSoil_379	6	92	8770	0	119	704	2	34	NC_013929.1
RefSoil	RefSoil_311	2	39	1711	0	23	67	1	2	NC_012438.1
RefSoil	RefSoil_414	1	50	3286	1	44	166	2	4	NC_014365.1
RefSoil	RefSoil_349	6	76	7298	0	97	557	0	19	NC_013132.1
RefSoil	RefSoil_261	3	40	1810	1	24	61	1	2	NC_010730.1
RefSoil	RefSoil_516	1	41	2338	3	31	83	1	3	NC_016026.1
RefSoil	RefSoil_23	4	48	5356	0	71	217	0	13	NC_003272.1
RefSoil	RefSoil_85	1	46	1435	0	19	85	0	0	NC_007356.1
RefSoil	RefSoil_464	1	38	3043	1	40	173	2	4	NC_015222.1
RefSoil	RefSoil_298	2	69	4494	3	59	216	2	7	NC_011891.1
RefSoil	RefSoil_386	4	47	5211	0	68	183	0	14	NC_007413.1
RefSoil	RefSoil_363	1	46	1457	0	19	89	0	0	NC_013552.1
RefSoil	RefSoil_874	2	47	2227	1	29	100	1	4	NZ_CP007243.1
RefSoil	RefSoil_96	2	49	3571	1	46	176	0	4	NC_007517.1
RefSoil	RefSoil_262	1	46	2101	0	27	59	0	5	NC_010794.1
RefSoil	RefSoil_150	2	47	2881	0	37	126	0	5	NC_008639.1
RefSoil	RefSoil_409	1	47	1715	0	22	86	1	1	NC_014314.1
RefSoil	RefSoil_111	1	33	780	0	10	16	1	0	NC_007798.1
RefSoil	RefSoil_716	3	43	3595	0	46	113	0	2	NC_019780.1
RefSoil	RefSoil_303	2	49	3832	3	49	188	0	5	NC_011979.1
RefSoil	RefSoil_717	3	50	3764	0	48	155	0	2	NC_019793.1
RefSoil	RefSoil_637	6	124	8249	3	105	576	1	20	NC_017803.1
RefSoil	RefSoil_454	4	61	4481	3	57	237	2	5	NC_014973.1
RefSoil	RefSoil_713	2	43	4487	0	57	172	1	12	NC_019748.1
RefSoil	RefSoil_816	1	46	1447	0	18	88	0	0	NC_022964.1
RefSoil	RefSoil_73	1	36	965	0	12	21	0	0	NC_006831.1
RefSoil	RefSoil_107	2	47	2742	0	34	116	2	1	NC_007775.1
RefSoil	RefSoil_50	2	36	3563	1	44	132	0	4	NC_005363.1
RefSoil	RefSoil_682	2	48	2350	1	29	104	1	4	NC_018649.1
RefSoil	RefSoil_87	1	47	3254	0	40	159	2	4	NC_007406.1
RefSoil	RefSoil_739	1	46	1471	0	18	87	0	0	NC_020386.1
RefSoil	RefSoil_231	2	50	2289	2	28	82	0	1	NC_010424.1
RefSoil	RefSoil_338	4	62	4098	4	50	199	0	4	NC_012918.1
RefSoil	RefSoil_515	1	50	3035	0	37	100	0	6	NC_016024.1, NC_016025.1
RefSoil	RefSoil_895	1	35	3631	1	44	138	0	4	NZ_CP007656.1
RefSoil	RefSoil_182	1	46	1406	0	17	77	0	0	NC_009455.1
RefSoil	RefSoil_754	1	41	2316	2	28	81	2	3	NC_020812.1
RefSoil	RefSoil_53	2	35	1903	0	23	34	1	2	NC_005861.1
RefSoil	RefSoil_155	1	32	830	0	10	12	0	0	NC_008710.1
RefSoil	RefSoil_438	3	48	2493	0	30	118	3	8	NC_014722.1
RefSoil	RefSoil_46	1	42	2664	0	32	156	0	4	NC_004757.1
RefSoil	RefSoil_201	2	65	4589	4	55	208	1	7	NC_009675.1
RefSoil	RefSoil_95	1	46	2094	0	25	73	0	4	NC_007514.1
RefSoil	RefSoil_375	1	46	1425	0	17	82	0	0	NC_013890.1
RefSoil	RefSoil_534	2	36	3277	2	39	129	0	2	NC_016620.1
RefSoil	RefSoil_680	1	39	1010	0	12	19	0	0	NC_018624.1
RefSoil	RefSoil_755	1	33	2616	0	31	117	0	0	NC_020813.1
RefSoil	RefSoil_740	1	46	1530	0	18	90	0	0	NC_020387.1
RefSoil	RefSoil_12	1	46	1539	0	18	89	0	0	NC_002936.3
RefSoil	RefSoil_701	3	51	6805	0	79	266	0	14	NC_019678.1
RefSoil	RefSoil_285	3	45	5334	1	61	176	0	9	NC_011729.1
RefSoil	RefSoil_893	6	49	2536	0	29	77	0	3	NZ_CP007627.1
RefSoil	RefSoil_700	4	78	5460	0	62	215	0	12	NC_019676.1
RefSoil	RefSoil_749	2	52	4242	0	48	232	0	6	NC_020520.1
RefSoil	RefSoil_48	1	48	4511	0	51	177	0	7	NC_005125.1
RefSoil	RefSoil_420	3	46	5573	0	63	193	1	7	NC_014501.1
RefSoil	RefSoil_318	3	50	2683	0	30	101	1	2	NC_012526.1
RefSoil	RefSoil_212	1	49	3313	0	37	128	3	3	NC_009943.1
RefSoil	RefSoil_25	1	38	989	0	11	19	0	0	NC_003361.3
RefSoil	RefSoil_778	2	48	2886	0	32	119	0	3	NC_021487.1
RefSoil	RefSoil_253	4	74	6990	1	77	258	0	20	NC_010628.1
RefSoil	RefSoil_185	2	51	4541	6	49	213	1	8	NC_009483.1
RefSoil	RefSoil_134	2	67	6058	0	65	318	1	27	NC_008278.1
RefSoil	RefSoil_879	1	33	839	0	9	24	1	0	NZ_CP007481.1
RefSoil	RefSoil_866	2	52	4757	0	51	205	0	2	NZ_CP007139.1
RefSoil	RefSoil_567	3	69	8122	4	87	382	0	35	NC_017030.1
RefSoil	RefSoil_487	2	49	4672	0	50	354	0	19	NC_015656.1
RefSoil	RefSoil_697	2	35	3759	2	40	153	0	3	NC_019567.1
RefSoil	RefSoil_679	3	40	2170	0	23	59	1	0	NC_018609.1
RefSoil	RefSoil_108	2	55	4764	0	50	249	0	27	NC_007777.1
RefSoil	RefSoil_709	3	49	3831	0	40	134	0	5	NC_019703.1
RefSoil	RefSoil_124	4	79	7315	4	76	329	1	23	NC_008095.1
RefSoil	RefSoil_164	4	56	3371	3	35	205	0	4	NC_009012.1
RefSoil	RefSoil_437	3	75	7157	0	74	499	2	24	NC_014666.1
RefSoil	RefSoil_428	2	54	8279	2	84	409	3	39	NC_014623.1
RefSoil	RefSoil_5	2	48	2574	0	26	84	0	2	NC_002488.3
RefSoil	RefSoil_537	6	60	4203	6	42	272	0	4	NC_016627.1
RefSoil	RefSoil_40	2	49	2415	0	24	68	0	1	NC_004556.1
RefSoil	RefSoil_711	3	73	6271	0	62	288	2	9	NC_019738.1
RefSoil	RefSoil_784	4	94	10942	0	108	527	0	39	NC_021658.1
RefSoil	RefSoil_248	2	49	2434	0	24	67	0	1	NC_010577.1
RefSoil	RefSoil_720	8	81	7420	0	73	318	0	11	NC_019892.1
RefSoil	RefSoil_42	1	51	917	0	9	23	0	0	NC_004572.3
RefSoil	RefSoil_39	1	51	925	0	9	22	0	0	NC_004551.1
RefSoil	RefSoil_703	2	43	4715	1	45	291	4	8	NC_019683.1
RefSoil	RefSoil_34	2	37	3780	3	36	98	0	0	NC_004342.2, NC_004343.2
RefSoil	RefSoil_623	2	37	3786	3	36	100	0	0	NC_017551.1, NC_017552.1
RefSoil	RefSoil_576	3	51	2440	0	23	109	1	4	NC_017094.1
RefSoil	RefSoil_445	4	60	3300	0	31	177	1	2	NC_014833.1
RefSoil	RefSoil_512	3	44	3108	0	29	89	1	2	NC_016001.1
RefSoil	RefSoil_727	3	93	8087	3	75	426	1	27	NC_020126.1
RefSoil	RefSoil_839	2	35	2804	0	26	109	0	0	NZ_CP002190.1
RefSoil	RefSoil_52	2	37	3681	2	34	105	0	0	NC_005823.1, NC_005824.1
RefSoil	RefSoil_525	5	74	2724	0	25	85	0	4	NC_016510.2
RefSoil	RefSoil_852	2	49	2760	0	25	98	0	1	NZ_CP006696.1
RefSoil	RefSoil_143	2	38	3540	2	32	91	0	0	NC_008510.1, NC_008511.1
RefSoil	RefSoil_218	4	86	9627	0	87	452	0	36	NC_010162.1
RefSoil	RefSoil_707	2	45	3653	0	33	130	0	2	NC_019701.1
RefSoil	RefSoil_710	2	79	6303	0	56	232	1	7	NC_019729.1
RefSoil	RefSoil_142	2	38	3607	2	32	95	0	0	NC_008508.1, NC_008509.1
RefSoil	RefSoil_714	4	70	6048	0	53	196	0	23	NC_019757.1
RefSoil	RefSoil_351	2	42	4424	0	38	153	0	8	NC_013161.1
RefSoil	RefSoil_284	2	43	4414	0	37	151	0	8	NC_011726.1
RefSoil	RefSoil_705	3	71	5884	0	49	238	0	9	NC_019693.1
RefSoil	RefSoil_791	1	33	1314	0	2	13	0	0	NC_021831.1
Diamond et al. 2019	GCA_003218165.1_ASM321816v1_genomic	0	28	1947	0	35	48	0	4	GCA_003218165.1
Diamond et al. 2019	GCA_003222155.1_ASM322215v1_genomic	0	49	3180	0	52	104	0	2	GCA_003222155.1
Diamond et al. 2019	GCA_003223455.1_ASM322345v1_genomic	1	44	4466	2	71	166	0	4	GCA_003223455.1
Diamond et al. 2019	GCA_003218525.1_ASM321852v1_genomic	0	33	2598	0	41	61	0	1	GCA_003218525.1
Diamond et al. 2019	GCA_003222035.1_ASM322203v1_genomic	0	48	3430	1	54	109	1	2	GCA_003222035.1
Diamond et al. 2019	GCA_003220795.1_ASM322079v1_genomic	0	40	3028	0	47	105	0	3	GCA_003220795.1
Diamond et al. 2019	GCA_003222135.1_ASM322213v1_genomic	0	38	3103	0	48	115	0	1	GCA_003222135.1
Diamond et al. 2019	GCA_003224055.1_ASM322405v1_genomic	0	50	4084	0	63	175	1	5	GCA_003224055.1
Diamond et al. 2019	GCA_003224815.1_ASM322481v1_genomic	0	44	4498	0	69	158	0	6	GCA_003224815.1
Diamond et al. 2019	GCA_003221195.1_ASM322119v1_genomic	0	37	3090	0	47	90	0	5	GCA_003221195.1
Diamond et al. 2019	GCA_003219175.1_ASM321917v1_genomic	0	41	3289	0	50	90	0	5	GCA_003219175.1
Diamond et al. 2019	GCA_003224785.1_ASM322478v1_genomic	0	22	2780	0	42	85	0	4	GCA_003224785.1
Diamond et al. 2019	GCA_003219915.1_ASM321991v1_genomic	0	35	2656	0	40	55	0	4	GCA_003219915.1
Diamond et al. 2019	GCA_003218175.1_ASM321817v1_genomic	0	37	2860	0	43	69	0	5	GCA_003218175.1
Diamond et al. 2019	GCA_003225495.1_ASM322549v1_genomic	0	45	4336	1	65	186	0	4	GCA_003225495.1
Diamond et al. 2019	GCA_003223475.1_ASM322347v1_genomic	0	28	3280	2	49	97	1	2	GCA_003223475.1
Diamond et al. 2019	GCA_003220805.1_ASM322080v1_genomic	0	41	3549	0	53	124	0	1	GCA_003220805.1
Diamond et al. 2019	GCA_003224855.1_ASM322485v1_genomic	0	39	3616	0	54	131	0	4	GCA_003224855.1
Diamond et al. 2019	GCA_003221085.1_ASM322108v1_genomic	0	43	2953	0	44	97	0	2	GCA_003221085.1
Diamond et al. 2019	GCA_003223195.1_ASM322319v1_genomic	2	46	5366	0	79	213	1	9	GCA_003223195.1
Diamond et al. 2019	GCA_003221805.1_ASM322180v1_genomic	0	39	3195	0	47	108	0	2	GCA_003221805.1
Diamond et al. 2019	GCA_003219295.1_ASM321929v1_genomic	0	30	1976	0	29	41	0	4	GCA_003219295.1
Diamond et al. 2019	GCA_003224835.1_ASM322483v1_genomic	0	34	3698	0	54	125	0	4	GCA_003224835.1
Diamond et al. 2019	GCA_003222115.1_ASM322211v1_genomic	0	46	2888	2	42	82	0	3	GCA_003222115.1
Diamond et al. 2019	GCA_003219545.1_ASM321954v1_genomic	0	50	2754	0	40	75	0	5	GCA_003219545.1
Diamond et al. 2019	GCA_003218215.1_ASM321821v1_genomic	0	31	2413	0	35	55	0	4	GCA_003218215.1
Diamond et al. 2019	GCA_003224025.1_ASM322402v1_genomic	1	40	4557	0	66	189	0	7	GCA_003224025.1
Diamond et al. 2019	GCA_003219415.1_ASM321941v1_genomic	0	41	3526	0	51	103	0	4	GCA_003219415.1
Diamond et al. 2019	GCA_003225555.1_ASM322555v1_genomic	0	38	3975	0	57	137	0	8	GCA_003225555.1
Diamond et al. 2019	GCA_003222055.1_ASM322205v1_genomic	0	42	3428	0	49	103	1	3	GCA_003222055.1
Diamond et al. 2019	GCA_003225215.1_ASM322521v1_genomic	0	36	4700	0	67	190	1	6	GCA_003225215.1
Diamond et al. 2019	GCA_003221855.1_ASM322185v1_genomic	0	50	3303	1	47	103	0	1	GCA_003221855.1
Diamond et al. 2019	GCA_003224995.1_ASM322499v1_genomic	0	30	4369	1	62	155	0	4	GCA_003224995.1
Diamond et al. 2019	GCA_003218875.1_ASM321887v1_genomic	0	44	3242	0	46	79	0	5	GCA_003218875.1
Diamond et al. 2019	GCA_003222085.1_ASM322208v1_genomic	0	43	3252	1	46	97	0	1	GCA_003222085.1
Diamond et al. 2019	GCA_003225515.1_ASM322551v1_genomic	0	29	4467	0	63	136	0	4	GCA_003225515.1
Diamond et al. 2019	GCA_003217925.1_ASM321792v1_genomic	0	26	2555	0	36	67	0	3	GCA_003217925.1
Diamond et al. 2019	GCA_003220855.1_ASM322085v1_genomic	0	46	2911	0	41	92	1	2	GCA_003220855.1
Diamond et al. 2019	GCA_003219895.1_ASM321989v1_genomic	0	39	2489	0	35	60	0	5	GCA_003219895.1
Diamond et al. 2019	GCA_003221135.1_ASM322113v1_genomic	0	35	2353	0	33	51	0	5	GCA_003221135.1
Diamond et al. 2019	GCA_003217815.1_ASM321781v1_genomic	1	36	2789	0	39	61	0	3	GCA_003217815.1
Diamond et al. 2019	GCA_003221275.1_ASM322127v1_genomic	1	37	2150	0	30	57	0	3	GCA_003221275.1
Diamond et al. 2019	GCA_003218445.1_ASM321844v1_genomic	0	30	2730	0	38	61	0	6	GCA_003218445.1
Diamond et al. 2019	GCA_003225155.1_ASM322515v1_genomic	0	30	3962	0	55	148	0	6	GCA_003225155.1
Diamond et al. 2019	GCA_003222175.1_ASM322217v1_genomic	1	36	2095	1	29	58	1	1	GCA_003222175.1
Diamond et al. 2019	GCA_003220835.1_ASM322083v1_genomic	0	44	3035	1	42	106	0	0	GCA_003220835.1
Diamond et al. 2019	GCA_003225315.1_ASM322531v1_genomic	0	49	4419	0	61	183	1	8	GCA_003225315.1
Diamond et al. 2019	GCA_003221215.1_ASM322121v1_genomic	0	24	1958	0	27	55	0	3	GCA_003221215.1
Diamond et al. 2019	GCA_003221035.1_ASM322103v1_genomic	0	44	3127	0	43	100	0	0	GCA_003221035.1
Diamond et al. 2019	GCA_003224975.1_ASM322497v1_genomic	0	40	5616	0	77	243	0	10	GCA_003224975.1
Diamond et al. 2019	GCA_003221955.1_ASM322195v1_genomic	0	55	3504	0	48	110	1	2	GCA_003221955.1
Diamond et al. 2019	GCA_003217945.1_ASM321794v1_genomic	0	29	2485	0	34	50	0	2	GCA_003217945.1
Diamond et al. 2019	GCA_003218415.1_ASM321841v1_genomic	0	35	2048	0	28	51	0	4	GCA_003218415.1
Diamond et al. 2019	GCA_003224955.1_ASM322495v1_genomic	0	50	4829	0	66	183	0	7	GCA_003224955.1
Diamond et al. 2019	GCA_003223395.1_ASM322339v1_genomic	0	44	3227	0	44	103	0	1	GCA_003223395.1
Diamond et al. 2019	GCA_003223165.1_ASM322316v1_genomic	0	36	2722	1	37	87	1	5	GCA_003223165.1
Diamond et al. 2019	GCA_003218975.1_ASM321897v1_genomic	0	47	3175	0	43	77	0	5	GCA_003218975.1
Diamond et al. 2019	GCA_003224145.1_ASM322414v1_genomic	0	50	4308	0	58	151	0	7	GCA_003224145.1
Diamond et al. 2019	GCA_003218265.1_ASM321826v1_genomic	0	24	2526	0	34	70	0	4	GCA_003218265.1
Diamond et al. 2019	GCA_003224525.1_ASM322452v1_genomic	0	55	5965	0	80	231	1	6	GCA_003224525.1
Diamond et al. 2019	GCA_003225465.1_ASM322546v1_genomic	0	46	5689	0	76	256	0	11	GCA_003225465.1
Diamond et al. 2019	GCA_003224515.1_ASM322451v1_genomic	0	29	5695	0	76	184	0	3	GCA_003224515.1
Diamond et al. 2019	GCA_003218885.1_ASM321888v1_genomic	0	36	2326	0	31	63	0	4	GCA_003218885.1
Diamond et al. 2019	GCA_003224495.1_ASM322449v1_genomic	0	19	4064	0	54	137	0	5	GCA_003224495.1
Diamond et al. 2019	GCA_003225635.1_ASM322563v1_genomic	0	47	6787	0	90	290	1	4	GCA_003225635.1
Diamond et al. 2019	GCA_003219455.1_ASM321945v1_genomic	0	20	2269	0	30	51	0	3	GCA_003219455.1
Diamond et al. 2019	GCA_003225175.1_ASM322517v1_genomic	1	49	5078	0	67	209	1	8	GCA_003225175.1
Diamond et al. 2019	GCA_003225055.1_ASM322505v1_genomic	0	48	6675	0	88	287	0	3	GCA_003225055.1
Diamond et al. 2019	GCA_003220885.1_ASM322088v1_genomic	0	44	2960	1	39	88	0	2	GCA_003220885.1
Diamond et al. 2019	GCA_003223425.1_ASM322342v1_genomic	0	37	2433	1	32	74	0	0	GCA_003223425.1
Diamond et al. 2019	GCA_003219515.1_ASM321951v1_genomic	0	36	2967	0	39	70	0	6	GCA_003219515.1
Diamond et al. 2019	GCA_003219725.1_ASM321972v1_genomic	0	35	1984	0	26	50	0	3	GCA_003219725.1
Diamond et al. 2019	GCA_003220095.1_ASM322009v1_genomic	0	41	2599	0	34	63	0	3	GCA_003220095.1
Diamond et al. 2019	GCA_003224905.1_ASM322490v1_genomic	0	59	5371	1	70	220	1	5	GCA_003224905.1
Diamond et al. 2019	GCA_003219195.1_ASM321919v1_genomic	0	44	2839	0	37	79	0	5	GCA_003219195.1
Diamond et al. 2019	GCA_003222205.1_ASM322220v1_genomic	0	49	2766	0	36	86	0	0	GCA_003222205.1
Diamond et al. 2019	GCA_003219255.1_ASM321925v1_genomic	0	19	1921	0	25	45	0	3	GCA_003219255.1
Diamond et al. 2019	GCA_003225075.1_ASM322507v1_genomic	0	45	4612	0	60	190	0	5	GCA_003225075.1
Diamond et al. 2019	GCA_003221995.1_ASM322199v1_genomic	0	17	2078	1	27	54	0	1	GCA_003221995.1
Diamond et al. 2019	GCA_003222475.1_ASM322247v1_genomic	0	22	4337	0	56	127	1	4	GCA_003222475.1
Diamond et al. 2019	GCA_003219625.1_ASM321962v1_genomic	0	28	1706	0	22	34	0	2	GCA_003219625.1
Diamond et al. 2019	GCA_003225355.1_ASM322535v1_genomic	0	45	6060	0	78	192	2	6	GCA_003225355.1
Diamond et al. 2019	GCA_003225115.1_ASM322511v1_genomic	0	36	4353	0	56	162	1	7	GCA_003225115.1
Diamond et al. 2019	GCA_003225005.1_ASM322500v1_genomic	0	59	7644	0	98	295	1	9	GCA_003225005.1
Diamond et al. 2019	GCA_003221915.1_ASM322191v1_genomic	0	37	2895	0	37	103	0	3	GCA_003221915.1
Diamond et al. 2019	GCA_003224075.1_ASM322407v1_genomic	0	33	3303	0	42	131	0	4	GCA_003224075.1
Diamond et al. 2019	GCA_003218155.1_ASM321815v1_genomic	0	45	3228	0	41	77	0	6	GCA_003218155.1
Diamond et al. 2019	GCA_003217915.1_ASM321791v1_genomic	0	30	2205	0	28	48	0	4	GCA_003217915.1
Diamond et al. 2019	GCA_003218085.1_ASM321808v1_genomic	0	26	1970	0	25	41	0	3	GCA_003218085.1
Diamond et al. 2019	GCA_003223315.1_ASM322331v1_genomic	0	50	4104	0	52	121	0	5	GCA_003223315.1
Diamond et al. 2019	GCA_003221075.1_ASM322107v1_genomic	0	43	3177	0	40	90	0	3	GCA_003221075.1
Diamond et al. 2019	GCA_003221985.1_ASM322198v1_genomic	0	31	3020	1	38	88	0	0	GCA_003221985.1
Diamond et al. 2019	GCA_003218915.1_ASM321891v1_genomic	0	37	3103	0	39	79	0	3	GCA_003218915.1
Diamond et al. 2019	GCA_003220175.1_ASM322017v1_genomic	0	29	2069	0	26	54	0	1	GCA_003220175.1
Diamond et al. 2019	GCA_003220055.1_ASM322005v1_genomic	0	31	2070	0	26	55	0	3	GCA_003220055.1
Diamond et al. 2019	GCA_003219035.1_ASM321903v1_genomic	0	43	2950	0	37	85	0	4	GCA_003219035.1
Diamond et al. 2019	GCA_003223295.1_ASM322329v1_genomic	0	47	5362	0	67	210	0	8	GCA_003223295.1
Diamond et al. 2019	GCA_003217995.1_ASM321799v1_genomic	0	27	2001	0	25	42	0	1	GCA_003217995.1
Diamond et al. 2019	GCA_003225195.1_ASM322519v1_genomic	1	38	5053	0	63	185	1	4	GCA_003225195.1
